Ragione Sociale,Forma Giuridica,Settore,Indirizzo,Città,Provincia,Email,Telefono,Cellulare,Sito Web,Anno Fondazione,Dipendenti,Fatturato,Descrizione,Stato,Data contatto,Data risposta,Note
Ricci Design,S.a.s.,Formazione,"Via Dante, 41, Lodi, Milano",Lodi,Milano,contatti@riccidesign.it,049 458386,360 8862013,www.riccidesign.eu,1979,103,3285613,PMI specializzata in soluzioni formazione per il mercato italiano ed europeo.,Non contattato,,,
Esposito S.p.A.,S.p.A.,Agricoltura,"Via Dante, 3, Termini Imerese, Palermo",Termini Imerese,Palermo,espositospa@tech.it,011 911700,380 0047887,www.espositospa.eu,1991,244,4783451,PMI in crescita specializzata in prodotti e servizi agricoltura di alta qualità.,Non contattato,,,
EnergyTechnologies,S.p.A.,Edilizia,"Corso Italia, 58, Selargius, Cagliari",Selargius,Cagliari,info@energytechnologies.it,045 429096,350 8061043,www.energytechnologies.it,1991,111,36566287,Azienda familiare con lunga tradizione nel settore edilizia e forte radicamento territoriale.,Non contattato,,,
Esposito Cooperativa,S.r.l.,Commercio,"Via Genova, 106, Bitonto, Bari",Bitonto,Bari,info@espositocooperativa.com,06 5642806,,,2015,179,38460686,Azienda familiare con lunga tradizione nel settore commercio e forte radicamento territoriale.,Non contattato,,,
GreenEngineering,S.p.A.,Logistica,"Via Padova, 143, Portici, Napoli",Portici,Napoli,info@greenengineering.com,06 2208958,370 8930657,www.greenengineering.it,2013,48,1904038,Azienda familiare con lunga tradizione nel settore logistica e forte radicamento territoriale.,Non contattato,,,
GeoServices,S.n.c.,Consulenza,"Via Catania, 53, Laives, Bolzano",Laives,Bolzano,info@geoservices.it,081 531345,330 4139859,,2002,53,48930191,Offriamo servizi e prodotti di alta qualità nel settore consulenza dal 2002.,Non contattato,,,
Ferrara Turismo,S.a.s.,Chimica,"Via Modena, 101, Misterbianco, Catania",Misterbianco,Catania,contatti@ferraraturismo.it,051 575550,,www.ferraraturismo.com,1976,133,8299120,Realtà consolidata nel panorama chimica con particolare attenzione alla sostenibilità.,Non contattato,,,
Mariani Ditta Individuale,S.a.s.,Tecnologia,"Via Genova, 147, Arco, Trento",Arco,Trento,info@marianidittaindividuale.it,080 424368,380 5289539,,1975,6,4428486,Forniamo soluzioni personalizzate per il settore tecnologia a piccole e medie imprese.,Non contattato,,,
CyberPartners,Cooperativa,Farmaceutico,"Via Bologna, 83, Napoli, Napoli",Napoli,Napoli,contatti@cyberpartners.it,02 0299897,330 2947144,,2022,103,48624056,PMI in crescita specializzata in prodotti e servizi farmaceutico di alta qualità.,Non contattato,,,
Colombo S.a.s.,S.a.s.,Edilizia,"Via Verdi, 31, Rovereto, Trento",Rovereto,Trento,contatti@colombosas.it,02 7450064,,www.colombosas.it,1998,250,3044307,Realtà consolidata nel panorama edilizia con particolare attenzione alla sostenibilità.,Non contattato,,,
Costa S.r.l.,S.n.c.,Chimica,"Via Mazzini, 119, Pescara, Pescara",Pescara,Pescara,info@costasrl.it,030 804948,320 0491421,,1973,44,14669875,PMI in crescita specializzata in prodotti e servizi chimica di alta qualità.,Non contattato,,,
Ferrari Turismo,Ditta Individuale,Ristorazione,"Via Dante, 95, Città di Castello, Perugia",Città di Castello,Perugia,info@ferrariturismo.com,030 991004,,www.ferrariturismo.org,1975,85,44813687,Azienda innovativa nel campo ristorazione con un team di professionisti qualificati.,Non contattato,,,
Greco Trasporti,S.a.s.,Agricoltura,"Via Bologna, 101, Ivrea, Torino",Ivrea,Torino,grecotrasporti@group.it,06 4719358,330 2548001,www.grecotrasporti.com,1996,62,2712808,Forniamo soluzioni personalizzate per il settore agricoltura a piccole e medie imprese.,Non contattato,,,
Giordano S.p.A.,S.r.l.,Farmaceutico,"Via Genova, 129, Pinerolo, Torino",Pinerolo,Torino,contatti@giordanospa.it,02 6192174,,www.giordanospa.com,1993,134,33783859,Offriamo servizi e prodotti di alta qualità nel settore farmaceutico dal 1993.,Non contattato,,,
AutoSystems,S.n.c.,Alimentare,"Via Mazzini, 117, Padova, Padova",Padova,Padova,info@autosystems.com,081 324379,,www.autosystems.it,1986,29,3378955,Realtà consolidata nel panorama alimentare con particolare attenzione alla sostenibilità.,Non contattato,,,
