Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
Arredoconsulting S.p.A.,S.p.A.,Legno e arredo,2006,52851733267,Micro impresa,3,0.1,+39 360 6087712,amministrazione@arredoconsulting.it,https://www.arredoconsulting.it,"Viale della Repubblica, 137 - 76035 Cagliari (CA)",76035,Cagliari,CA,"Da oltre 19 anni siamo specializzati nel settore legno e arredo. La nostra azienda, con sede a Cagliari, conta 3 collaboratori e un fatturato di 0.1 milioni di euro."
Bianchi Trasporti S.r.l.,S.r.l.,Artigianato,2011,76275313143,Micro impresa,5,0.96,+39 350 6478519,contatti@bianchitrasporti.it,https://www.bianchitrasporti.it,"Via XXV Aprile, 118 - 81089 Catania (CT)",81089,Catania,CT,Azienda a conduzione familiare con 14 anni di esperienza nel settore artigianato. Siamo una micro impresa con 5 dipendenti e un fatturato annuo di 0.96 milioni di euro.
Marino Servizi S.n.c.,S.n.c.,Agricoltura,2016,72702456722,Piccola impresa,44,6.7,+39 329 6120932,amministrazione@marinoservizi.it,https://www.marinoservizi.it,"Via XXV Aprile, 92 - 70123 Bari (BA)",70123,Bari,BA,"Da oltre 9 anni siamo specializzati nel settore agricoltura. La nostra azienda, con sede a Bari, conta 44 collaboratori e un fatturato di 6.7 milioni di euro."
Romano Servizi S.r.l.,S.r.l.,Manifatturiero,2021,39989443998,Micro impresa,8,0.71,+39 091 1602707,ufficio@romanoservizi.it,,"Via Dante, 167 - 10129 Torino (TO)",10129,Torino,TO,"Da oltre 4 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Torino, conta 8 collaboratori e un fatturato di 0.71 milioni di euro."
Piemonte Legno S.r.l.,S.r.l.,Servizi alla persona,1978,86806694373,Micro impresa,8,1.17,+39 330 3754356,ufficio@piemontelegno.it,https://www.piemontelegno.it,"Via Galilei, 88 - 80180 Napoli (NA)",80180,Napoli,NA,"Da oltre 47 anni siamo specializzati nel settore servizi alla persona. La nostra azienda, con sede a Napoli, conta 8 collaboratori e un fatturato di 1.17 milioni di euro."
I.S.Z. Società cooperativa,Società cooperativa,Commercio,2013,68780562783,Piccola impresa,36,8.44,+39 388 3161358,ufficio@isz.it,,"Via delle Industrie, 70 - 50139 Firenze (FI)",50139,Firenze,FI,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore commercio. La nostra struttura conta 36 professionisti qualificati e ha un fatturato di 8.44 milioni di euro."
Stampaquality,Ditta individuale,Plastica,2014,56419018850,Micro impresa,9,0.5,+39 320 1643825,vendite@stampaquality.it,https://www.stampaquality.it,"Via Milano, 169 - 10137 Torino (TO)",10137,Torino,TO,"Da oltre 11 anni siamo specializzati nel settore plastica. La nostra azienda, con sede a Torino, conta 9 collaboratori e un fatturato di 0.5 milioni di euro."
K.Y.V.O.,Ditta individuale,Chimica,2002,42806857046,Micro impresa,1,0.62,+39 06 9871100,contatti@kyvo.it,https://www.kyvo.it,"Via delle Industrie, 147 - 42044 Pescara (PE)",42044,Pescara,PE,"Da oltre 23 anni siamo specializzati nel settore chimica. La nostra azienda, con sede a Pescara, conta 1 collaboratori e un fatturato di 0.62 milioni di euro."
Conti-Mancini S.r.l.,S.r.l.,Edilizia,2020,42782850656,Micro impresa,4,1.55,+39 045 2091183,vendite@contimancini.it,,"Via Europa, 55 - 20173 Milano (MI)",20173,Milano,MI,"Fondata nel 2020, la nostra azienda opera nel settore edilizia con 4 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Mecfood,Ditta individuale,Chimica,2018,23524230424,Micro impresa,9,1.89,+39 02 6249486,mecfood@legalmail.it,https://www.mecfood.it,"Via XXV Aprile, 58 - 52044 Vicenza (VI)",52044,Vicenza,VI,Azienda a conduzione familiare con 7 anni di esperienza nel settore chimica. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 1.89 milioni di euro.
